PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32002935","Cognitive Behavioral Therapy, Mindfulness-Based Cognitive Therapy and Acceptance Commitment Therapy for Anxiety Disorders: Integrating Traditional with Digital Treatment Approaches","Apolinário-Hagen J, Drüge M, Fritsche L.","Adv Exp Med Biol. 2020;1191:291-329. doi: 10.1007/978-981-32-9705-0_17.","Apolinário-Hagen J","Adv Exp Med Biol","2020","2020/02/01","","","10.1007/978-981-32-9705-0_17"
"33124984","Effects of a Mobile and Web App (Thought Spot) on Mental Health Help-Seeking Among College and University Students: Randomized Controlled Trial","Wiljer D, Shi J, Lo B, Sanches M, Hollenberg E, Johnson A, Abi-Jaoudé A, Chaim G, Cleverley K, Henderson J, Isaranuwatchai W, Levinson A, Robb J, Wong HW, Voineskos A.","J Med Internet Res. 2020 Oct 30;22(10):e20790. doi: 10.2196/20790.","Wiljer D","J Med Internet Res","2020","2020/10/30","PMC7665949","","10.2196/20790"
"23796315","Virtual reality exposure therapy for social anxiety disorder: a randomized controlled trial","Anderson PL, Price M, Edwards SM, Obasaju MA, Schmertz SK, Zimand E, Calamaras MR.","J Consult Clin Psychol. 2013 Oct;81(5):751-60. doi: 10.1037/a0033559. Epub 2013 Jun 24.","Anderson PL","J Consult Clin Psychol","2013","2013/06/26","","","10.1037/a0033559"
"37195738","Social Prescription Interventions Addressing Social Isolation and Loneliness in Older Adults: Meta-Review Integrating On-the-Ground Resources","Paquet C, Whitehead J, Shah R, Adams AM, Dooley D, Spreng RN, Aunio AL, Dubé L.","J Med Internet Res. 2023 May 17;25:e40213. doi: 10.2196/40213.","Paquet C","J Med Internet Res","2023","2023/05/17","PMC10233446","","10.2196/40213"
"31697244","A New Mental Health Mobile App for Well-Being and Stress Reduction in Working Women: Randomized Controlled Trial","Coelhoso CC, Tobo PR, Lacerda SS, Lima AH, Barrichello CRC, Amaro E Jr, Kozasa EH.","J Med Internet Res. 2019 Nov 7;21(11):e14269. doi: 10.2196/14269.","Coelhoso CC","J Med Internet Res","2019","2019/11/08","PMC6873146","","10.2196/14269"
"32824394","Effects of Virtual Reality versus Exercise on Pain, Functional, Somatosensory and Psychosocial Outcomes in Patients with Non-specific Chronic Neck Pain: A Randomized Clinical Trial","Tejera DM, Beltran-Alacreu H, Cano-de-la-Cuerda R, Leon Hernández JV, Martín-Pintado-Zugasti A, Calvo-Lobo C, Gil-Martínez A, Fernández-Carnero J.","Int J Environ Res Public Health. 2020 Aug 16;17(16):5950. doi: 10.3390/ijerph17165950.","Tejera DM","Int J Environ Res Public Health","2020","2020/08/23","PMC7460130","","10.3390/ijerph17165950"
"36438382","Clinical EFT as an evidence-based practice for the treatment of psychological and physiological conditions: A systematic review","Church D, Stapleton P, Vasudevan A, O'Keefe T.","Front Psychol. 2022 Nov 10;13:951451. doi: 10.3389/fpsyg.2022.951451. eCollection 2022.","Church D","Front Psychol","2022","2022/11/28","PMC9692186","","10.3389/fpsyg.2022.951451"
"35604760","Adolescent Health Promotion Interventions Using Well-Care Visits and a Smartphone Cognitive Behavioral Therapy App: Randomized Controlled Trial","Nagamitsu S, Kanie A, Sakashita K, Sakuta R, Okada A, Matsuura K, Ito M, Katayanagi A, Katayama T, Otani R, Kitajima T, Matsubara N, Inoue T, Tanaka C, Fujii C, Shigeyasu Y, Ishii R, Sakai S, Matsuoka M, Kakuma T, Yamashita Y, Horikoshi M.","JMIR Mhealth Uhealth. 2022 May 23;10(5):e34154. doi: 10.2196/34154.","Nagamitsu S","JMIR Mhealth Uhealth","2022","2022/05/23","PMC9171600","","10.2196/34154"
"36181554","Randomized, Controlled Trial of a Digital Behavioral Therapeutic Application to Improve Glycemic Control in Adults With Type 2 Diabetes","Hsia J, Guthrie NL, Lupinacci P, Gubbi A, Denham D, Berman MA, Bonaca MP.","Diabetes Care. 2022 Dec 1;45(12):2976-2981. doi: 10.2337/dc22-1099.","Hsia J","Diabetes Care","2022","2022/10/01","PMC9862458","","10.2337/dc22-1099"
"34003138","Effects of Psychoeducational Interventions Using Mobile Apps and Mobile-Based Online Group Discussions on Anxiety and Self-Esteem in Women With Breast Cancer: Randomized Controlled Trial","Ghanbari E, Yektatalab S, Mehrabi M.","JMIR Mhealth Uhealth. 2021 May 18;9(5):e19262. doi: 10.2196/19262.","Ghanbari E","JMIR Mhealth Uhealth","2021","2021/05/18","PMC8170553","","10.2196/19262"
"32234700","Efficacy of a Theory-Based Cognitive Behavioral Technique App-Based Intervention for Patients With Insomnia: Randomized Controlled Trial","Rajabi Majd N, Broström A, Ulander M, Lin CY, Griffiths MD, Imani V, Ahorsu DK, Ohayon MM, Pakpour AH.","J Med Internet Res. 2020 Apr 1;22(4):e15841. doi: 10.2196/15841.","Rajabi Majd N","J Med Internet Res","2020","2020/04/03","PMC7160702","","10.2196/15841"
"33909587","A Mobile Phone-Based Intervention to Reduce Mental Health Problems in Health Care Workers During the COVID-19 Pandemic (PsyCovidApp): Randomized Controlled Trial","Fiol-DeRoque MA, Serrano-Ripoll MJ, Jiménez R, Zamanillo-Campos R, Yáñez-Juan AM, Bennasar-Veny M, Leiva A, Gervilla E, García-Buades ME, García-Toro M, Alonso-Coello P, Pastor-Moreno G, Ruiz-Pérez I, Sitges C, García-Campayo J, Llobera-Cánaves J, Ricci-Cabello I.","JMIR Mhealth Uhealth. 2021 May 18;9(5):e27039. doi: 10.2196/27039.","Fiol-DeRoque MA","JMIR Mhealth Uhealth","2021","2021/04/28","PMC8133164","","10.2196/27039"
"34444055","Psychiatry in the Digital Age: A Blessing or a Curse?","Roth CB, Papassotiropoulos A, Brühl AB, Lang UE, Huber CG.","Int J Environ Res Public Health. 2021 Aug 5;18(16):8302. doi: 10.3390/ijerph18168302.","Roth CB","Int J Environ Res Public Health","2021","2021/08/27","PMC8391902","","10.3390/ijerph18168302"
