Title,Authors,Journal,Year,Abstract,DOI,Research Areas,Author Keywords,FinalGoodSum,FinalAnswered,AgreementFinalGood,Multi user technology,Hardware,How many people,Professional/Peer
Online group music therapy: proactive management of undergraduate students' stress and anxiety,"Finnerty, R; McWeeny, S; Trainor, L",FRONTIERS IN PSYCHIATRY,2023,"IntroductionIn alignment with the World Health Organization's (WHO) goal to provide comprehensive and integrated mental health services in community-based settings, this randomized control trial explored the efficacy of online group music therapy as a proactive intervention for reducing stress and anxiety in university students who do not necessarily have a diagnosis. MethodsThe study took place during COVID-19 restrictions. Students who volunteered were randomly assigned to 6 weeks of weekly (1) online active group music therapy, (2) online receptive group music therapy, (3) online group verbal therapy (standard of care), or (4) no-intervention (control group). Students rated their stress (Likert scale) and anxiety [State-Trait Anxiety Inventory, State version (STAI-S)], and provided heart rate variability (HRV) using a phone app, pre and post each therapy session. ResultsSTAI-S and Likert stress scores significantly reduced from pre to post 45-min online music therapy sessions, with moderate evidence that these changes did not differ from the standard of care (verbal therapy). HRV results were not analyzed statistically as HRV collection was likely compromised due to challenges of remote collection. Students completed the Perceived Stress Scale (PSS) and provided a hair sample for cortisol analysis before and after the 6-week intervention. Changes in stress from week 1 to week 6 were not observed in the PSS measure; however, cortisol increased significantly in the control group as the term progressed, while it remained relatively stable in the therapy groups, suggesting therapy may lead to greater control of stress. Of participants' demographic characteristics, music sophistication, personality, and changes in quality of life, only the personality trait of conscientiousness correlated significantly with PSS, suggesting online group therapy may be beneficial for a wide range of university students. DiscussionThe results suggest group music therapy can be as effective as group verbal therapy. Further, the study indicates that online delivery can be achieved effectively, supporting the idea that remote therapy may be a viable option for other populations. While the study should be replicated with a larger multi-site sample, it provides one example toward achieving a health-promoting culture on university campuses, consistent with the mental health goals of the Okanagan Charter.",10.3389/fpsyt.2023.1183311,Psychiatry,mental health; music therapy; stress; anxiety; proactive therapy; cortisol; university students; online group therapy,3,3,1,Video conference,Monitor,3+,Professional
A virtual mother-infant postpartum psychotherapy group for mothers with a history of adverse childhood experiences: open-label feasibility study,"Wright, E; Martinovic, J; Meschino, DD; Barker, LC; Philipp, DA; Israel, A; Hussain-Shamsy, N; Mukerji, G; Wang, V; Chatterjee, A; Vigod, SN",BMC PSYCHIATRY,2023,"ObjectivesMothers with a history of adverse childhood experiences (ACE) are at elevated risk for postpartum mental illness and impairment in the mother-infant relationship. Interventions attending to maternal-infant interactions may improve outcomes for these parents and their children, but barriers to accessing in-person postpartum care limit uptake. We adapted a postpartum psychotherapy group for mothers with mental illness (e.g., mood, anxiety, trauma-related disorders) and ACE for live video-based delivery, and evaluated feasibility, acceptability, and preliminary efficacy in an open-label pilot study.MethodsWe recruited adults with children (6-18 months) from a perinatal psychiatry program in Toronto, Canada. The intervention was a live video-based 12-week interactive psychotherapy group focused on maternal symptoms and maternal-infant relationships. The primary outcome was feasibility, including feasibility of recruitment and retention, fidelity of the intervention, and acceptability to patients and group providers. Maternal clinical outcomes were compared pre- to post-intervention, as secondary outcomes.ResultsWe recruited 31 participants (mean age 36.5 years (SD 3.9)) into 6 groups; 93.6% (n = 29) completed post-group questionnaires, and n = 20 completed an optional post-group acceptability interview. Mean weekly group attendance was 83% (IQR 80-87); one participant (3.2%) dropped out. All group components were implemented as planned, except for dyadic exercises where facilitator observation of dyads was replaced with unobserved mother-infant exercises followed by in-group reflection. Participant acceptability was high (100% indicated the virtual group was easy to access, beneficial, and reduced barriers to care). Mean maternal depressive [Edinburgh Postnatal Depression Scale: 14.6 (SD 4.2) vs. 11.8 (SD 4.2), paired t, p = 0.005] and post-traumatic stress [Posttraumatic Stress Disorder Checklist for DSM-5: 35.5 (SD 19.0) vs. 27.1 (SD 16.7)], paired t, p = 0.01] symptoms were significantly lower post vs. pre-group. No differences were observed on mean measures of anxiety, emotion regulation or parenting stress.ConclusionsRecruitment and retention met a priori feasibility criteria. There were significant pre- to post-group reductions in maternal depressive and post-traumatic symptoms, supporting proceeding to larger-scale implementation and evaluation of the intervention, with adaptation of dyadic exercises.",10.1186/s12888-023-05444-x,Psychiatry,Maternal-child; Mental health; Adverse childhood experiences,3,3,1,Video conference,Monitor,3+,"Peer ,Professional"
A Digital Peer Support Platform to Translate Online Peer Support for Emerging Adult Mental Well-being: Randomized Controlled Trial,"Yeo, G; Loo, G; Oon, M; Pang, R; Ho, D",JMIR MENTAL HEALTH,2023,"Background: Emerging adulthood (ages 19 to 25 years) is a developmental phase that is marked by increased mental health conditions, especially depression and anxiety. A growing body of work indicates that digital peer emotional support has positive implications for the psychological functioning of emerging adults. There is burgeoning interest among health care professionals, educational stakeholders, and policy makers in understanding the implementation and clinical effectiveness, as well as the associated mechanism of change, of digital peer support as an intervention.Objective: This randomized controlled trial (RCT) examined the effectiveness of a digital peer support intervention over a digital platform-Acceset-for emerging adult psychological well-being with 3 primary aims. First, we evaluated the implementation effectiveness of digital peer support training for individuals providing support (befrienders) and of the digital platform for peer support. Second, we assessed the clinical outcomes of digital peer support in terms of the intervening effect on emerging adult psychological well-being. Third, we investigated the mechanism of change linking the digital peer support intervention to emerging adult psychological well-being.Methods: This RCT involving 100 emerging adults from the National University of Singapore follows the published protocol for this trial.Results: This RCT found effectiveness in digital peer support training-specifically, befrienders' peer support responses demonstrating significantly higher post-than pretraining scores in selfhood (posttraining score: mean 62.83, SD 10.18, and SE 1.72; pretraining score: mean 54.86, SD 7.32, and SE 1.24; t34=3.88; P<.001). The digital peer support intervention demonstrated clinical effectiveness in enhancing selfhood, compassion, and mindfulness and lowering depressive and anxiety symptoms among seekers in the intervention group after the intervention (mean 7.15, SD 5.14; SE 0.88) than among seekers in the waitlist control group before the intervention (mean 11.75, SD 6.72; SE 0.89; t89=3.44; P<.001). The effect of the intervention on seekers' psychological well-being was sustained beyond the period of the intervention. The mechanism of change revealed that seekers' engagement with the intervention had both immediate and prospective implications for their psychological well-being.Conclusions: This RCT of a digital peer support intervention for emerging adult psychological well-being harnesses the interventional potential of 4 components of psychological well-being and elucidated a mechanism of change. By incorporating and validating the digital features and process of a peer support platform, our RCT provides the parameters and conditions for deploying an effective and novel digital peer support intervention for emerging adult psychological well-being in real-world settings.",10.2196/43956,Psychiatry,mental health; digital health; peer support intervention; peer emotional disclosure; randomized controlled trial,3,3,1,Text,Not specified,2,"Peer ,Professional"
Evaluation of a Technology-Based Peer-Support Intervention Program for Preventing Postnatal Depression (Part 1): Randomized Controlled Trial,"Shorey, S; Chee, CYI; Ng, ED; Lau, Y; Dennis, CL; Chan, YH",JOURNAL OF MEDICAL INTERNET RESEARCH,2019,"Background: The frenzy of postbirth events often takes a toll on mothers' mental well-being, leaving them susceptible to postpartum psychological disorders such as postnatal depression (PND). Social support has been found to be effective in restoring the emotional well-being of new mothers. Therefore, mothers need to be supported during the crucial postpartum period to buffer the negative after effects of childbirth and to promote healthier maternal well-being. Objective: This study aimed to evaluate the effectiveness of a technology-based peer-support intervention program (PIP) on maternal outcomes during the early postpartum period. Methods: A randomized, parallel-armed controlled trial was conducted. The study recruited 138 mothers (69 in intervention group, 69 in control group) at risk of PND from a tertiary hospital in Singapore. To support these mothers, 20 peer volunteers were recruited by word of mouth and trained by a psychiatrist in social support skills before the intervention commenced. The 4-week-long intervention included a weekly follow-up with a peer volunteer through phone calls or text messages. The intervention group received peer support in addition to the standard care offered by the hospital. The control group only received postnatal standard care. Maternal outcomes (PND, postnatal anxiety [PNA], loneliness, and perceived social support) were measured with reliable and valid instruments. Data were collected immediately postpartum, at 1 month postpartum and at 3 months postpartum. The general linear model was used to compare the groups for postpartum percentage changes in the outcome variables at first and third months, and the linear mixed model was used to compare the trend over the study period. Results: There was a statistically significant difference in Edinburgh Postnatal Depression Scale scores (d=-2.11; 95% CI -4.0 to -0.3; P=.03) between the intervention and control groups at 3 months postpartum after adjusting for covariates. The intervention group had a significant change over time compared with the control group. Conclusions: The technology-based PIP was found to be effective in reducing the risk of PND among new mothers and showed a generally positive trend in reducing PNA and loneliness and increasing perceived social support. This study highlights the importance of training paraprofessionals to provide needed support for new mothers postpartum. A further long-term evaluation of the PIP on maternal and family outcomes and its cost-effectiveness is needed to inform clinical practices.",10.2196/12410,Health Care Sciences & Services; Medical Informatics,anxiety; loneliness; postpartum depression; social support; technology; digital health; peer support; peer-to-peer support; online support groups; internet,2,4,0.5,"Video conference,Text,Voice conferences",Not specified,2,"Peer "
Building Emotional Awareness and Mental Health (BEAM): an open-pilot and feasibility study of a digital mental health and parenting intervention for mothers of infants,"Xie, EB; Freeman, M; Penner-Goeke, L; Reynolds, K; Lebel, C; Giesbrecht, GF; Rioux, C; MacKinnon, A; Sauer-Zavala, S; Roos, LE; Tomfohr-Madsen, L",PILOT AND FEASIBILITY STUDIES,2023,"Background Maternal mental health concerns and parenting stress in the first few years following childbirth are common and pose significant risks to maternal and child well-being. The COVID-19 pandemic has led to increases in maternal depression and anxiety and has presented unique parenting stressors. Although early intervention is crucial, there are significant barriers to accessing care.Methods To inform a larger randomized controlled trial, the current open-pilot trial investigated initial evidence for the feasibility, acceptability, and efficacy of a newly developed online group therapy and app-based mental health and parenting program (BEAM) for mothers of infants. Forty-six mothers 18 years or older with clinically elevated depression scores, with an infant aged 6-17 months old, and who lived in Manitoba or Alberta were enrolled in the 10-week program (starting in July 2021) and completed self-report surveys.Results The majority of participants engaged in each of the program components at least once and participants indicated relatively high levels of app satisfaction, ease of use, and usefulness. However, there was a high level of attrition (46%). Paired-sample t-tests indicated significant pre- to post-intervention change in maternal depression, anxiety, and parenting stress, and in child internalizing, but not externalizing symptoms. Effect sizes were in the medium to high range, with the largest effect size observed for depressive symptoms (Cohen's d = .93).Discussion This study shows moderate levels of feasibility and strong preliminary efficacy of the BEAM program. Limitations to program design and delivery are being addressed for testing in adequately powered follow-up trials of the BEAM program for mothers of infants.",10.1186/s40814-023-01245-x,Research & Experimental Medicine,Parenting; Maternal; Mental health; Depression; Pilot study,3,3,1,"Video conference,Text","Mobile,Monitor",3+,"Peer ,Professional"
South African university students' experiences of online group cognitive behavioural therapy: Implications for delivering digital mental health interventions to young people,"Hunt, X; Jivan, DC; Naslund, JA; Breet, E; Bantjes, J",CAMBRIDGE PRISMS-GLOBAL MENTAL HEALTH,2023,"Mental disorders are common among university students. In the face of a large treatment gap, resource constraints and low uptake of traditional in-person psychotherapy services by students, there has been interest in the role that digital mental health solutions could play in meeting students' mental health needs. This study is a cross-sectional, qualitative inquiry into university students' experiences of an online group cognitive behavioural therapy (GCBT) intervention. A total of 125 respondents who had participated in an online GCBT intervention completed a qualitative questionnaire, and 12 participated in in-depth interviews. The findings provide insights into how the context in which the intervention took place, students' need for and expectations about the intervention; and the online format impacted their engagement and perception of its utility. The findings of this study also suggest that, while online GCBT can capitalise on some of the strengths of both digital and in-person approaches to mental health programming, it also suffers from some of the weaknesses of both digital delivery and those associated with in-person therapies.",10.1017/gmh.2023.39,Psychiatry,digital mental health; cognitive behavioural therapy; university students; mHealth; group therapy,3,3,1,"Video conference,Text",Monitor,3+,"Peer ,Professional"
"AFFIRM Online: Utilising an Affirmative Cognitive-Behavioural Digital Intervention to Improve Mental Health, Access, and Engagement among LGBTQA plus Youth and Young Adults","Craig, SL; Leung, VWY; Pascoe, R; Pang, N; Iacono, G; Austin, A; Dillon, F",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2021,"Digital mental health interventions may enable access to care for LGBTQA+ youth and young adults that face significant threats to their wellbeing. This study describes the preliminary efficacy of AFFIRM Online, an eight-session manualised affirmative cognitive behavioural group intervention delivered synchronously. Participants (M-age = 21.17; SD = 4.52) had a range of sexual (e.g., queer, lesbian, pansexual) and gender (e.g., non-binary, transgender, cisgender woman) identities. Compared to a waitlist control (n = 50), AFFIRM Online participants (n = 46) experienced significantly reduced depression (b = -5.30, p = 0.005, d = 0.60) and improved appraisal of stress as a challenge (b = 0.51, p = 0.005, d = 0.60) and having the resources to meet those challenges (b = 0.27, p = 0.059, d = 0.39) as well active coping (b = 0.36, p = 0.012, d = 0.54), emotional support (b = 0.38, p = 0.017, d = 0.51), instrumental support (b = 0.58, p < 0.001, d = 0.77), positive framing (b = 0.34, p = 0.046, d = 0.42), and planning (b = 0.41, p = 0.024, d = 0.49). Participants reported high acceptability. This study highlights the potential of digital interventions to impact LGBTQA+ youth mental health and explores the feasibility of digital mental health to support access and engagement of youth with a range of identities and needs (e.g., pandemic, lack of transportation, rural locations). Findings have implications for the design and delivery of digital interventions for marginalised youth and young adults.",10.3390/ijerph18041541,"Environmental Sciences & Ecology; Public, Environmental & Occupational Health",LGBTQA plus; cognitive– behavioural; technology-mediated; intervention; mental health; youth; sexual and gender minorities; online adaptation; digital mental health,3,3,1,"Video conference,Text",Monitor,3+,"Professional,Peer "
Promoting psychological health in women with SCI: Development of an online self-esteem intervention,"Robinson-Whelen, S; Hughes, RB; Taylor, HB; Markley, R; Vega, JC; Nosek, TM; Nosek, MA",DISABILITY AND HEALTH JOURNAL,2020,"Background: There are no known interventions addressing self-esteem in women following spinal cord injury (SCI). Objectives: To test the feasibility of an online self-esteem intervention for women with disabilities, as modified for women with SCI. Method: We conducted a randomized, controlled feasibility test of a self-esteem intervention (N = 21). Participants were randomly assigned to the intervention or control group that received intervention materials at the end of the study. Intervention participants met as avatars for 7 weekly real-time group sessions in Second Life (SL), a free online virtual world. Feasibility indicators were study engagement, acceptability of SL and the intervention, and improvements on measures of psychological health promoting behaviors, social support, self-efficacy, self-esteem, and depression. Results: Intervention participants (n = 10) were highly engaged, and most described the SL program as more enjoyable and more convenient than in-person programs. All rated the intervention as good (n = 4) or very good (n = 6), and all 10 rated themselves has having made positive life changes as a result of the program. Intervention participants experienced significantly greater change than controls on two measures of health-promoting behavior (Health Promoting Lifestyle Profile-II Spiritual Growth/Self-actualization; Interpersonal Relations). Examining change in the intervention group using regression analyses, we found medium-to-large effects of the intervention on these behaviors and measures of depression (CESD-10, PHQ-9). The intervention had small effects on remaining measures. Conclusion: We found preliminary support for the feasibility of this modified self-esteem intervention offered in SL. Such programming may help circumvent barriers to community-based psychological services and may improve psychological health. (c) 2019 Elsevier Inc. All rights reserved.",10.1016/j.dhjo.2019.100867,"Health Care Sciences & Services; Public, Environmental & Occupational Health; Rehabilitation",Spinal cord injury; Women; Self-esteem; Psychosocial intervention; Virtual reality,3,3,1,Virtual World,Monitor,3+,"Professional,Peer "
Can We Foster a Culture of Peer Support and Promote Mental Health in Adolescence Using a Web-Based App? A Control Group Study,"Bohleber, L; Crameri, A; Eich-Stierli, B; Telesko, R; von Wyl, A",JMIR MENTAL HEALTH,2016,"Background: Adolescence with its many transitions is a vulnerable period for the development of mental illnesses. Establishing effective mental health promotion programs for this age group is a challenge crucial to societal health. Programs must account for the specific developmental tasks that adolescents face. Considering peer influence and fostering adolescent autonomy strivings is essential. Participation in a program should be compelling to young people, and their affinity to new technologies offers unprecedented opportunities in this respect. Objective: The Companion App was developed as a Web-based app giving adolescents access to a peer mentoring system and interactive, health-relevant content to foster a positive peer culture among adolescents and thereby strengthen social support and reduce stress. Methods: In a control group study design, a group of employed (n=546) and unemployed (n=73) adolescents had access to the Companion App during a 10-month period. The intervention was evaluated using a combination of quantitative and qualitative approaches. Linear mixed effects models were used to analyze changes in chronic stress levels and perception of social support. Monthly feedback on the app and qualitative interviews at the end of the study allowed for an in-depth exploration of the adolescents' perception of the intervention. Results: Adolescents in the intervention group did not use the Companion App consistently. The intervention had no significant effect on chronic stress levels or the perception of social support. Adolescents reported endorsing the concept of the app and the implementation of a peer mentoring system in particular. However, technical difficulties and insufficiently obvious benefits of using the app impeded more frequent usage. Conclusions: The Companion Project implemented a theory-driven and innovative approach to mental health promotion in adolescence, taking into account the specifics of this developmental phase. Particularities of the implementation context, technical aspects of the app, and insufficient incentives may have played considerable roles concerning the difficulties of the Companion Project to establish commitment. However, adopting peer mentoring as a strategy and using an app still seems to us a promising approach in mental health promotion in adolescents. Future projects should be careful to invest enough resources into the technical development of an app and consider a large use of incentives to establish commitment. When targeting risk groups, such as unemployed adolescents, it may be expedient to use more structured approaches including face-to-face support.",10.2196/mental.5597,Psychiatry,mental health; health promotion; mobile applications; adolescence; peer group; mentors,3,3,1,Text,Mobile,3+,"Professional,Peer "
Increasing engagement with an occupational digital stress management program through the use of an online facilitated discussion group: Results of a pilot randomised controlled trial,"Carolan S, Harris PR, Greenwood K, Cavanagh K.",Internet Interv,2017,"Introduction: Rates of work-related stress, depression and anxiety are high, resulting in reduced work performance and absenteeism. There is evidence that digital mental health interventions delivered in the workplace are an effective way of treating these conditions, but intervention engagement and adherence remain a challenge. Providing guidance can lead to greater engagement and adherence; an online facilitated discussion group may be one way of providing that guidance in a time efficient way. This study compares engagement with a minimally guided digital mental health program (WorkGuru) delivered in the workplace with a discussion group (DG) and without a discussion group (MSG), and with a wait list control (WLC); it was conducted as a pilot phase of a definitive trial.

Methods: Eighty four individuals with elevated levels of stress from six organisations were recruited to the study and randomised to one of two active conditions (DG or MSG) or a WLC. The program WorkGuru is a CBT based, eight-week stress management intervention that is delivered with minimal guidance from a coach. Data was collected at baseline, post-intervention and at 16-week follow-up via online questionnaires. The primary outcome measure was number of logins. Secondary measures included further engagement measures, and measures of depression, anxiety, stress, comfort and enthusiasm. Quality measures including satisfaction and system usability were also collected.

Results: A greater number of logins was observed for the DG compared with the MSG; this was a medium between group effect size (d = 0.51; 95% CI: - 0.04, 1.05). Small to medium effect size differences were found at T2 in favour of the active conditions compared with the control on the DASS subscales depression, anxiety and stress, and the IWP subscales enthusiasm and comfort. This was largely maintained at T3. Satisfaction with the intervention was high with individuals in the MSG reporting greater satisfaction than individuals in the DG.

Conclusions: This study shows that access to an online facilitated discussion group increases engagement with a minimally supported occupational digital mental health intervention (as defined by the number of logins), but that this doesn't necessarily result in improved psychological outcomes or increased satisfaction when compared to access to the intervention without the group. Access to the web-based program was associated with lower levels of depression, anxiety and stress and an increase in comfort and enthusiasm post intervention; these changes were largely maintained at follow-up.",10.1016/j.invent.2017.08.001,NA,NA,3,3,1,Text,"Mobile,Monitor",3+,"Peer ,Professional"
