Title,SelectionPhase1,Authors,Journal,Year,Abstract,DOI,source,Research Areas,Author Keywords,DOIURL
"""Autsome"": Fostering an Autistic Identity in an Online Minecraft Community for Youth with Autism",Good,Ringland KE.,Inf Contemp Soc (2019),2019,"Autism is a medical diagnosis that has attracted much attention in recent decades, particularly due to an increase in the numbers of children being diagnosed and the changing requirements for getting the diagnosis. In parallel online communities around autism—both those supporting individuals, families seeking treatment and those supporting embracing the autism identity—have grown. Previous literature has shown the positive impact support groups can have for those encountering hardship in their lives, such as depression. In this qualitative study of an online community for autistic children centered around a virtual world, I explore how the label “autism” can be not only a source of disenfranchisement, leading to harassment and violence—in both the virtual and physical world—but also a source of empowerment and identity. I illuminate the tension in claiming the autistic identity within this community—having a sense of identity in the community, but, in doing so, also “othering” those with autism further. The walls of the community work to keep community members safe, but also set them apart from others on the internet. I see that the Autcraft community goes beyond being a support group for victims of targeted violence, to one that redefines and helps community members embrace their own autistic identities.",10.1007/978-3-030-15742-5_12,pubmed,NA,NA,URI::(https://www.doi.org/10.1007/978-3-030-15742-5_12)
"""Influencing the influencers:"" a field experimental approach to promoting effective mental health communication on TikTok",Other,"Motta M, Liu Y, Yarnell A.",Sci Rep,2024,NA,10.1038/s41598-024-56578-1,pubmed,NA,NA,URI::(https://www.doi.org/10.1038/s41598-024-56578-1)
"'It opened my eyes, my ears, and my heart': Codesigning a substance use disorder treatment programme",Not Multi User,"Bosak, J; Drainoni, ML; Bryer, C; Goodman, D; Messersmith, L; Declercq, E",HEALTH EXPECTATIONS,2024,"BackgroundPregnant and parenting women have low engagement and poor retention in substance use disorder (SUD) treatment. The aim of this study was to analyse the implementation of an adapted experience-based codesign (EBCD) process involving SUD treatment staff and pregnant or parenting women with lived experience (WWLE) of SUD to launch a residential treatment service where women could coreside with their children and receive long term comprehensive treatment for dual diagnosis of SUD and mental illness.MethodsA process evaluation was conducted utilising five data sources: two sets of semistructured interviews with WWLE and SUD treatment staff, ethnographic observation and transcripts from group events, and meeting minutes. Based on the Integrated Promoting Action on Research in Health Services framework constructs (context, recipients, facilitation, innovation) researchers applied thematic analysis to determine main themes within each construct.ResultsThe full sample across the implementation totalled 34 individuals (WWLE = 13 and SUD staff = 21). The EBCD process engaged both cohorts and supported group cohesion and collaborative brainstorming. WWLE felt respected, emotionally safe to share, and empowered by participation. A cohesive, multidisciplinary codesign planning group, inclusive of WWLE, supported a more equitable codesign process. The need for a virtual platform due to the COVID-19 pandemic impeded human connection and relationship building. The complex environment of residential regulations and uncertainties during start-up phase of an organisation presented implementation challenges.ConclusionThese results highlight the feasibility of, and challenges to, effectively engaging WWLE in a codesign process. The findings also demonstrated a positive influence on WWLE's feelings of empowerment. Identified themes reinforce the purposeful components within EBCD that enhance participation, along with new insights to inform successful codesign with a vulnerable population. The author's team included a WWLE who collaborated throughout the full scope of the research process, enriching the overall research and ensuring the authenticity of the presentation of women in recovery's perspective. Utilising the codesign approach to design and implement new services should improve health equity by enhancing patient engagement and retention in care.Patient ContributionParenting WWLE of residential SUD treatment were involved in the full scope of the research process and the implementation being evaluated. For the actual codesign work WWLE were key members of the codesign planning team that met weekly throughout the implementation to plan, implement, problem solve and adapt the process over an 18 month timeframe. As is appropriate for codesign the actual ongoing workgroup participants had average 50% WWLE participation. For the research team, this research is a culmination of the lead author's doctoral dissertation. One member of the five-person dissertation committee was a recovery coach and a WWLE. She was an active participant across the entire research process overseeing and influencing the research design, conduct of the study, analysis, interpretation of findings and approval of the final manuscript. The findings were member checked with the larger codesign planning group that had additional WWLE members.",10.1111/hex.13908,"pubmed, wos","Health Care Sciences & Services; Public, Environmental & Occupational Health",addiction treatment service design; codesign; experience based codesign; i-PARIHS; pregnant and parenting women in recovery,URI::(https://www.doi.org/10.1111/hex.13908)
'Open Window': a randomized trial of the effect of new media art using a virtual window on quality of life in patients' experiencing stem cell transplantation,Not Digital,"McCabe, C; Roche, D; Hegarty, F; McCann, S",PSYCHO-ONCOLOGY,2013,"Objectives To measure the psychological effect of an art intervention on hospitalized patients and explore benefits to their quality of life. Methods We conducted a large prospective randomized trial between July 2006 and August 2009 of an art intervention, Open Window (OW), in patients undergoing stem cell transplantation for a hematological malignancy compared with a control group. The primary endpoint measured the effect of an art intervention on levels of anxiety, depression, and stress using the Hospital Anxiety and Depression Scale and the Distress Thermometer. The secondary endpoint measured the influence of OW on patients' experiences of stem cell transplantation using the OW survey and expectations questionnaires. Results Of the 199 patients in the study, 96 were randomized to the intervention group and 103 to the control group. Participants in the intervention group had significantly reduced levels of anxiety on the day before transplant (p=0.001), at day 7 (p=0.041), and day 60 (p=0.035). There was a significant reduction in depression before transplant (p=0.022). Participants in the intervention group reported better experiences (p<0.005). Qualitative data showed that those in the intervention group commented freely on their likes and dislikes about OW and how it made them feel. Conclusion An art intervention, OW, had a positive influence on health-related quality of life and patients' experiences of having a stem cell transplant. Copyright (c) 2011 John Wiley & Sons, Ltd.",10.1002/pon.2093,"pubmed, wos",Oncology; Psychology; Biomedical Social Sciences,Quality of Life; Haematological malignancies; Anxiety; Depression; Cancer; Art and Health; Oncology,URI::(https://www.doi.org/10.1002/pon.2093)
'Take a Mental Break!' study: Role of mental aspects in running-related injuries using a randomised controlled trial,Not Multi User,"de Jonge, J; van Iperen, L; Gevers, J; Vos, S",BMJ OPEN SPORT & EXERCISE MEDICINE,2018,"Background Running-related injuries (RRIs) can be considered the primary enemy of runners. Most literature on injury prediction and prevention overlooks the mental aspects of overtraining and under-recovery, despite their potential role in injury prediction and prevention. Consequently, knowledge on the role of mental aspects in RRIs is lacking. Objective To investigate mental aspects of overtraining and under-recovery by means of an online injury prevention programme. Methods and analysis The `Take a Mental Break!' study is a randomised controlled trial with a 12 month follow-up. After completing a web-based baseline survey, half and full marathon runners were randomly assigned to the intervention group or the control group. Participants of the intervention group obtained access to an online injury prevention programme, consisting of a runningrelated smartphone application. This app provided the participants of the intervention group with information on how to prevent overtraining and RRIs with special attention to mental aspects. The primary outcome measure is any self-reported RRI over the past 12 months. Secondary outcome measures include vigour, fatigue, sleep and perceived running performance. Regression analysis will be conducted to investigate whether the injury prevention programme has led to a lower prevalence of RRIs, better health and improved perceived running performance. Ethics and dissemination The Medical Ethics Committee of the University Medical Center Utrecht, the Netherlands, has exempted the current study from ethical approval (reference number: NL64342.041.17). Results of the study will be communicated through scientific articles in peer-reviewed journals, scientific reports and presentations on scientific conferences.",10.1136/bmjsem-2018-000427,"pubmed, wos",Sport Sciences,NA,URI::(https://www.doi.org/10.1136/bmjsem-2018-000427)
'Virtual experience' as an intervention before a positron emission tomography/CT scan may ease patients' anxiety and improve image quality,Not Multi User,"Sun, YY; Sun, YF; Qin, Y; Zhang, YJ; Yuan, HY; Yang, ZY",JOURNAL OF MEDICAL IMAGING AND RADIATION ONCOLOGY,2020,"Introduction The aim of our study was to investigate the effect of a 'virtual experience' on reducing people's anxiety levels and improving image quality. Methods This study included 200 people who underwent(18)F-FDG PET/CT scan for the first time. Healthy people (n = 100) and patients (n = 100) were randomly divided into a control group and an intervention group. In the intervention group, we used a 'virtual experience' as an intervention before the scan. We used the Spielberger State-Trait Anxiety Inventory (STAI) and satisfaction questionnaires for evaluation. Additionally, the image quality was analysed. Results In the control group, more patients presented anxiety than healthy people (26(52%) versus 15(30%)) (P = 0.041). However, when the 'virtual experience' was provided, the number of cases of anxiety in the patient group decreased to 19(38%). Furthermore, patients in the intervention group had lower STAI-related scores than those in the control group (STAI-S: 37.08 +/- 9.42 versus 43.34 +/- 10.49,P = 0.109; STAI-T: 36.24 +/- 9.55 versus 40.72 +/- 9.00,P = 0.019). With respect to image quality, people who had higher STAI-related scores were more likely to have unqualified images. Conclusion A 'virtual experience' provided by an audio-visual installation can ease patients' anxiety and improve image quality.",10.1111/1754-9485.13078,"pubmed, wos","Radiology, Nuclear Medicine & Medical Imaging",anxiety; healthy people; patients; Positron emission tomography; Spielberger State-Trait Anxiety Inventory,URI::(https://www.doi.org/10.1111/1754-9485.13078)
(No) Effects of a Self-Kindness Intervention on Self-Esteem and Visual Self-Perception: An Eye-Tracking Investigation on the Time-Course of Self-Face Viewing,Not Multi User,"Potthoff, J; Schienle, A",EUROPEAN JOURNAL OF INVESTIGATION IN HEALTH PSYCHOLOGY AND EDUCATION,2023,"Previous research has suggested a favorable impact of self-kindness on subjective well-being. The present experiment investigated the effects of an app-assisted self-kindness intervention for increasing self-esteem and self-face gaze, and for decreasing depression. We explored self-face processing via a time-course analysis of eye-tracking data. Eighty participants (56 female, 24 male; mean age: 23.2 years) were randomly allocated to one of two intervention groups, each receiving daily instructions to enhance either self-kindness or relaxation (active control). Following a one-week intervention period, both groups reported improved self-esteem (p = .035, eta(2)(part) = .068) and reduced depression (p < .001, eta(2)(part) = .17). The duration of self-face gaze increased in both groups (p < .001, eta(2)(part) = .21). Self-face processing was characterized by an early automatic attention bias toward the self-face, with a subsequent reduction in self-face bias, followed in turn by an attentional self-face reapproach, and then a stable self-face bias. We thus identified a complex temporal pattern of self-face inspection, which was not specifically altered by the intervention. This research sheds light on the potential for app-assisted interventions to positively impact psychological well-being, while also highlighting the complexity of self-face processing dynamics in this context. In the future, we propose the inclusion of personalized self-kindness statements, which may amplify the benefits of these interventions.",10.3390/ejihpe13110179,"pubmed, wos",Psychology,self-face; self-kindness; self-esteem; depression; smartphone intervention; app-assisted approach; eye-tracking,URI::(https://www.doi.org/10.3390/ejihpe13110179)
360° Video virtual reality exposure therapy for public speaking anxiety: A randomized controlled trial,Not Multi User,"Reeves, R; Elliott, A; Curran, D; Dyer, K; Hanna, D",JOURNAL OF ANXIETY DISORDERS,2021,"Public speaking anxiety (PSA) is a prevalent condition which is highly interrelated with social anxiety. PSA can be effectively treated with exposure therapy. Virtual reality exposure therapy (VRET) is increasingly being explored as a novel and cost-effective mode of treatment. No previous randomized controlled trial has examined whether stand-alone 360 degrees video VRET is an effective intervention for treating PSA and interrelated disorder relevant fears. Further, studies have not explored whether 360 degrees video content influences VRET outcomes. Participants with high PSA (n = 51) were randomly allocated to: 360 degrees video VRET incorporating stimuli of audiences (360 degrees Audience) (n = 17), 360 degrees video VRET incorporating stimuli of empty rooms (360 degrees Empty) (n = 16) and no treatment control (n = 18). Outcomes were measured over five time-points. Mixed ANOVA revealed a significant interaction between time and intervention group for PSA, social anxiety and fear of negative evaluation (FNE). Within-group analysis demonstrated there was a significant pre-intervention to post-intervention reduction across measures for both 360 degrees video VRET groups: PSA 360 degrees Audience (eta(2)(p) = .90, p<.001), 360 degrees Empty (eta(2)(p) = .71, p < .001); social anxiety 360 degrees Audience (eta(2)(p) = .49, p=.002), 360 degrees Empty (eta(2)(p) = .39, p = .009); FNE 360 degrees Audience (eta(2)(p) = .59, p<.001), 360 degrees Empty (eta(2)(p) = .43, p = .006). Active intervention participants showed significant improvement from pre-intervention to 10-week follow-up on all measures. Findings illustrate that 360 degrees video VRET is an efficacious way to significantly reduce PSA, social anxiety and FNE.",10.1016/j.janxdis.2021.102451,"pubmed, wos",Psychology; Psychiatry,Virtual reality; Exposure therapy; Technology delivered interventions; Public speaking anxiety; Social anxiety,URI::(https://www.doi.org/10.1016/j.janxdis.2021.102451)
A 12-month comparison of brief psychodynamic psychotherapy and pharmacotherapy treatment in subjects with generalised anxiety disorders in a community setting,Good,"Ferrero, A; Pierò, A; Fassina, S; Massola, T; Lanteri, A; Daga, GA; Fassino, S",EUROPEAN PSYCHIATRY,2007,"Little information is available on the use of brief psychotherapy among subjects with generalised anxiety disorder (GAD) within community mental health services. This study compared results among subjects treated with brief Adlerian psychodynamic psychotherapy (B-APP), those treated with medication (MED), or those who experienced combined treatment (COM). Symptomatology and occupational functioning were assessed using the Hamilton Anxiety and Depression scales (HAM-A; HAM-D), Clinical Global Impression (CGI), and Social and Occupational Functioning Assessment Scale (SOFAS) at intake (T1) and at 3, 6, and 12 months later (T3, T6, T12). The study sample included 87 patients with GAD (B-APP 34: MED 33; COM 20), and an ANOVA was applied for analysing repeated measures while controlling for personality disorder. After 6 months, CGI, HAM-A, HAM-D. and SOFAS scores significantly improved independently from the type of treatment. Subjects with personality disorders treated with B-APP exhibited superior results to those treated using other methods only in SOFAS scores at T6. These results were generally maintained at T12. Remission rates among subjects (HAM-A scores < 7) varied between 55% (MED) and 74% (B-APP) at T6 and between 63% (MED) and 78% (COM) at T12; no significant differences appeared between the three treatment groups. A logistic regression model predicted anxiety remission only by CGI at T1. This paper discusses these results in relation to the use of brief psychotherapy within community mental health services. (c) 2007 Elsevier Masson SAS. All rights reserved.",10.1016/j.eurpsy.2007.07.004,"pubmed, wos",Psychiatry,anxiety disorders; brief psychotherapy; medication; mental health; treatment; agoraphobia; drug; follow-up; outcome; panic; personality disorders,URI::(https://www.doi.org/10.1016/j.eurpsy.2007.07.004)
"A 6-Month Randomized Trial of a Smartphone Application, UControlDrink, in Aiding Recovery in Alcohol Use Disorder",Not Digital,"Farren, C; Farrell, A; Hagerty, A; McHugh, C",EUROPEAN ADDICTION RESEARCH,2022,"Background and Aims: Alcohol use disorder (AUD) is a substantial problem, causing early death and great economic burden. Research has highlighted the potential positive impact of technological interventions, such as smartphone applications (app) in treatment of AUD. The aim of this study was to explore the effectiveness of a smartphone app, incorporating computerized cognitive behavioural therapy and text messaging support, on alcohol outcomes over 6 months in a post-rehabilitation setting. Methods: A total of 111 participants with AUD were recruited into this randomized controlled trial, following completion of a 30-day rehabilitation programme. The intervention group (n = 54) used the smartphone app UControlDrink (UCD) over 6 months with treatment as usual (TAU), and the control group (n = 57) received TAU. All subjects suffered from AUD as the primary disorder, with other major psychiatric disorders excluded. All intervention subjects used the UCD smartphone app in the treatment trial, and all subjects underwent TAU consisting of outpatient weekly support groups. Drinking history in the previous 90 days was measured at baseline and at 3- and 6-month follow-ups. Additional measurements were made to assess mood, anxiety, craving, and motivation. Results were analysed using intention-to-treat analyses. Results: Retention in the study was 72% at 3 months and 52% at 6 months. There was a significant reduction in heavy drinking days in the intervention group relative to TAU over the 6 months, p < 0.02. Conclusions: The UCD smartphone app demonstrates a significant benefit to reducing heavy drinking days over a 6-month post-rehabilitation period in AUD.",10.1159/000519945,"pubmed, wos",Substance Abuse; Psychiatry,NA,URI::(https://www.doi.org/10.1159/000519945)
